session_date,session_classification,discovery_up_attempts,discovery_down_attempts,discovery_up_acceptances,discovery_down_acceptances,discovery_up_rejections,discovery_down_rejections,max_extension_up_points,max_extension_down_points,time_in_balance_minutes,time_in_discovery_minutes,final_failure_count_up,final_failure_count_down,closing_price,prior_rth_vah,prior_rth_val,overnight_vah,overnight_val,ibh,ibl,close_vs_prior_rth,close_vs_overnight,close_vs_ib
2025-05-08,net_discovery_up,4,0,1,0,3,0,131.75,0.0,125,310,3,0,20155.75,19912.0,19785.25,20265.25,20175.75,20205.75,19978.0,above,below,within
2025-05-09,net_discovery_down,0,3,0,1,0,2,0.0,111.75,345,80,0,3,20146.5,20337.0,20164.25,,,20176.0,20057.5,below,unknown,within
2025-05-11,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,20159.75,20104.0,20962.5,20754.25,,,unknown,unknown,unknown
2025-05-12,failed_discovery_up,1,1,1,0,0,1,180.25,64.25,105,300,0,1,20958.0,,,21070.25,20818.25,20815.75,20690.0,unknown,within,above
2025-05-13,net_discovery_up,5,0,1,0,4,0,306.0,0.0,160,325,4,0,21254.75,20971.75,20789.5,21350.5,21276.25,21293.0,21186.5,above,below,within
2025-05-14,net_discovery_up,9,0,2,0,7,0,40.75,0.0,310,160,4,0,21403.5,21335.5,21262.0,21339.25,21253.75,21385.0,21288.25,above,above,above
2025-05-15,failed_discovery_up,6,1,1,0,5,1,106.75,43.25,220,240,4,1,21396.25,21387.5,21334.5,21464.0,21400.25,21423.0,21256.75,above,below,within
2025-05-16,failed_two_sided_balance,2,1,0,0,2,1,98.5,52.75,85,335,2,1,21404.25,21474.25,21341.0,,,21414.5,21320.0,within,unknown,within
2025-05-18,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21504.5,21402.25,21353.75,21152.25,,,unknown,unknown,unknown
2025-05-19,net_discovery_up,6,0,2,0,4,0,110.5,0.0,55,435,4,0,21517.5,,,21459.0,21383.25,21435.0,21377.0,unknown,above,above
2025-05-20,failed_two_sided_balance,2,1,0,0,2,1,22.5,83.5,290,130,2,1,21419.0,21542.75,21435.25,21423.0,21315.5,21451.25,21381.5,below,within,within
2025-05-21,two_sided_discovery,5,1,1,1,4,0,88.5,300.25,135,330,4,0,21145.25,21452.0,21377.75,21252.5,21136.5,21535.5,21372.0,below,within,below
2025-05-22,failed_up_balance,3,0,0,0,3,0,68.5,0.0,250,170,3,0,21214.25,21558.5,21227.5,21231.5,20873.0,21269.25,21166.5,below,within,within
2025-05-23,failed_two_sided_balance,2,1,0,0,2,1,95.5,56.0,195,225,2,1,20953.25,21302.0,21222.5,,,20988.25,20883.75,below,unknown,within
2025-05-25,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21032.75,20918.75,21288.25,21190.75,,,unknown,unknown,unknown
2025-05-26,net_discovery_up,1,0,1,0,0,0,27.25,0.0,80,75,0,0,21284.5,,,21337.0,21206.75,21269.0,21215.5,unknown,within,above
2025-05-27,net_discovery_up,4,0,2,0,2,0,87.5,0.0,40,430,2,0,21477.5,21032.75,20918.75,21510.25,21438.25,21400.75,21348.25,above,within,above
2025-05-28,failed_discovery_up,5,1,1,0,4,1,51.25,106.25,280,165,4,1,21525.0,21480.25,21398.0,21848.25,21546.0,21477.5,21426.25,above,below,above
2025-05-29,net_discovery_down,0,3,0,1,0,2,0.0,129.25,150,265,0,2,21384.5,21489.0,21438.5,21388.0,21315.0,21522.0,21430.25,below,within,below
2025-05-30,failed_down_balance,0,3,0,0,0,3,0.0,246.75,225,195,0,3,21369.0,21470.5,21367.5,,,21399.5,21318.25,within,unknown,within
2025-06-01,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21415.0,21195.75,21329.5,21217.5,,,unknown,unknown,unknown
2025-06-02,net_discovery_up,4,0,2,0,2,0,158.0,0.0,45,425,2,0,21554.75,,,21630.5,21489.5,21418.75,21349.0,unknown,within,above
2025-06-03,net_discovery_up,6,0,2,0,4,0,73.25,0.0,140,335,4,0,21688.0,21492.0,21349.0,21745.0,21678.5,21686.5,21584.0,above,within,above
2025-06-04,net_discovery_up,7,0,1,0,6,0,47.0,0.0,305,175,4,0,21747.5,21725.75,21652.25,21796.75,21720.75,21784.75,21705.0,above,within,within
2025-06-05,two_sided_discovery,2,3,1,1,1,2,134.0,197.25,205,270,1,2,21513.5,21792.75,21742.75,21863.5,21665.0,21925.0,21700.75,below,below,below
2025-06-06,balanced,0,0,0,0,0,0,0.0,0.0,390,0,0,0,21809.75,21844.0,21563.75,,,21870.25,21735.75,within,unknown,within
2025-06-08,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21849.75,21783.25,21815.5,21746.75,,,unknown,unknown,unknown
2025-06-09,failed_discovery_up,2,1,1,0,1,1,77.0,16.75,305,160,1,1,21821.5,,,21881.5,21809.75,21892.5,21813.25,unknown,within,within
2025-06-10,failed_discovery_up,5,2,1,0,4,2,102.75,101.25,155,300,4,2,21951.5,21873.5,21833.5,22004.5,21892.0,21889.5,21844.25,above,within,above
2025-06-11,two_sided_discovery,2,2,1,1,1,1,78.5,195.5,90,380,1,1,21882.75,21940.75,21825.0,21881.25,21779.75,22066.75,21985.75,within,above,below
2025-06-12,failed_up_balance,1,0,0,0,1,0,46.5,0.0,355,45,1,0,21908.25,21994.5,21823.0,21704.75,21522.75,21977.5,21881.75,within,above,within
2025-06-13,failed_two_sided_balance,3,1,0,0,3,1,48.25,18.75,330,100,3,1,21654.0,21948.5,21911.25,,,21807.5,21621.25,below,unknown,within
2025-06-15,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21781.75,21613.5,21855.25,21593.75,,,unknown,unknown,unknown
2025-06-16,failed_discovery_up,2,9,1,0,1,9,141.25,36.5,170,375,1,4,21935.5,,,22091.75,22030.25,21996.5,21947.0,unknown,below,below
2025-06-17,net_discovery_down,0,1,0,1,0,0,0.0,159.25,145,250,0,0,21953.25,21967.5,21928.5,22034.25,21955.0,22136.5,22067.25,within,below,below
2025-06-18,failed_discovery_down,1,5,0,1,1,4,38.25,158.25,125,320,1,4,21961.25,22088.0,21911.25,21905.5,21739.25,22098.75,22041.25,within,above,below
2025-06-19,net_discovery_down,0,2,0,1,0,1,0.0,219.25,95,120,0,1,21704.25,22065.5,21958.5,22023.5,21828.0,21741.0,21677.5,below,below,within
2025-06-20,failed_down_balance,0,2,0,0,0,2,0.0,52.25,370,35,0,2,21877.5,22065.5,21958.5,,,21967.0,21775.75,below,unknown,within
2025-06-22,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,21898.0,21813.5,21934.25,21744.75,,,unknown,unknown,unknown
2025-06-23,failed_discovery_up,3,1,2,0,1,1,83.75,206.25,45,425,1,1,22072.0,,,22337.25,22245.25,22018.0,21944.75,unknown,below,above
2025-06-24,net_discovery_up,3,0,1,0,2,0,74.25,0.0,100,315,2,0,22409.5,22093.0,21910.75,22548.25,22442.0,22373.5,22300.0,above,below,above
2025-06-25,failed_two_sided_balance,1,5,0,0,1,5,50.75,56.5,180,270,1,4,22472.75,22436.0,22368.25,22575.0,22511.5,22524.5,22444.75,above,below,within
2025-06-26,net_discovery_up,4,0,2,0,2,0,90.25,0.0,70,400,2,0,22672.75,22463.0,22415.5,22767.0,22677.0,22613.25,22557.0,above,below,above
2025-06-27,failed_discovery_down,1,2,0,1,1,1,5.5,146.0,210,200,1,2,22743.25,22686.5,22599.25,,,22814.5,22746.0,above,unknown,below
2025-06-29,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,22814.5,22697.0,22871.5,22801.25,,,unknown,unknown,unknown
2025-06-30,failed_discovery_up,4,1,1,0,3,1,89.25,21.25,235,200,3,1,22865.75,,,22847.5,22782.25,22844.75,22801.25,unknown,above,above
2025-07-01,net_discovery_down,0,2,0,1,0,1,0.0,201.0,335,120,0,1,22691.5,22866.5,22808.0,22745.75,22639.0,22783.5,22593.75,below,within,within
2025-07-02,net_discovery_up,3,0,2,0,1,0,101.75,0.0,320,140,1,0,22853.25,22744.25,22671.0,22969.25,22831.5,22847.75,22772.25,above,within,above
2025-07-03,net_discovery_up,3,0,1,0,2,0,194.25,0.0,70,170,2,0,23059.0,22841.25,22813.0,22997.0,22887.5,23079.5,23034.75,above,above,within
2025-07-04,net_discovery_down,0,3,0,2,0,1,0.0,54.5,80,140,0,1,22904.5,23078.75,23043.75,,,22946.0,22911.0,below,unknown,below
2025-07-06,balanced,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,22944.0,22922.5,22971.0,22921.0,,,unknown,unknown,unknown
2025-07-07,failed_discovery_down,1,9,0,2,1,7,23.25,102.5,135,375,1,4,22838.0,22841.25,22813.0,22938.5,22872.5,22939.5,22882.75,within,below,below
2025-07-08,failed_up_balance,2,0,0,0,2,0,20.0,0.0,380,30,2,0,22903.5,22917.5,22848.25,23111.25,22919.25,22942.75,22841.0,within,below,within
2025-07-09,net_discovery_up,5,0,1,0,4,0,104.75,0.0,345,95,4,0,23043.25,22923.25,22879.5,23078.0,22962.75,23049.0,22917.0,above,within,within
